Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR2032,BatteryHolder_Keystone_103_1x20mm,217.855,-100.53,0.0,top
C1,0.1uF,C_0603_1608Metric,201.95,-95.43,0.0,top
C10,100uF,CP_Elec_6.3x5.4,159.77,-106.06,0.0,top
C11,1uF,C_0603_1608Metric,193.175,-108.32,0.0,top
C12,1uF,C_0603_1608Metric,196.3,-108.32,0.0,top
C2,1uF,C_0603_1608Metric,201.995,-99.15,0.0,top
C3,0.1uF,C_0603_1608Metric,194.625,-84.92,0.0,top
C4,0.1uF,C_0603_1608Metric,189.73,-91.1,0.0,top
C5,2.2nF,C_0603_1608Metric,190.53,-78.94,0.0,top
C6,0.1uF,C_0603_1608Metric,258.26,-91.44183,0.0,top
C7,0.1uF,C_0603_1608Metric,169.05,-102.38,90.0,top
C8,10uF,C_0603_1608Metric,227.58,-66.27,90.0,top
C9,22uF,C_1206_3216Metric,232.695,-70.83,0.0,top
J2,MLX90614,TO-39-4_Window,260.08,-86.97183,0.0,bottom
J3,UART,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,239.215,-103.02,0.0,top
J5,BATT_IN,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,230.05,-77.7,0.0,top
J8,MTHR_I2C,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,239.125,-86.69,0.0,top
J9,DTR_I2C,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,252.46,-86.70183,0.0,top
L1,2.2uH,L_1008_2520Metric,238.02,-65.87,90.0,top
Q1,IRLML6401,SOT-23,209.8,-65.91,270.0,top
Q2,AO3401A,SOT-23,200.0175,-76.64,270.0,top
R10,36.5K,R_0603_1608Metric,227.65,-70.69,0.0,top
R11,100R,R_0603_1608Metric,192.915,-112.1,0.0,top
R12,470R,R_0603_1608Metric,197.2,-112.04,0.0,top
R13,10K,R_0603_1608Metric,197.655,-103.4,0.0,top
R3,4.7K,R_0603_1608Metric,202.0,-103.43,0.0,top
R4,10K,R_0603_1608Metric,204.72,-65.93,-90.0,top
R5,10K,R_0603_1608Metric,168.24,-106.08,0.0,top
R6,10K,R_0603_1608Metric,203.74,-68.7,180.0,top
R7,10K,R_0603_1608Metric,184.42,-77.54,0.0,top
R8,4.7K,R_0603_1608Metric,189.72,-98.3,0.0,top
R9,4.7K,R_0603_1608Metric,189.805,-95.14,0.0,top
SW1,BOOT,SW_Push_1P1T_NO_CK_KSC6xxG,177.93,-70.63,0.0,top
SW2,EN,SW_Push_1P1T_NO_CK_KSC6xxG,177.85,-103.41,0.0,top
SW3,Addr_SW,SW_SPDT_PCM12,209.25,-111.13,0.0,top
SW4,Debug_SW,SW_SPDT_PCM12,169.53,-110.97,0.0,top
SW5,PWR,SW_SPDT_PCM12,239.82,-74.11,90.0,top
U1,ESP32-WROOM-32,ESP32-WROOM-32,164.77,-86.97,0.0,top
U2,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,189.2,-85.05,270.0,top
U3,DS3231M,SOIC-16W_7.5x10.3mm_P1.27mm,210.6075,-83.62,0.0,top
U4,TPS63900,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,232.65,-65.57,0.0,top
U5,CW2015CHBD,TDFN-8_L3.0-W2.0-P0.50-BL-EP,194.31,-104.26,0.0,top
